"Date","NEC","Atira","Aten","Apollo","Amor","PHA-km","PHA","NEA-km","NEA-140m","NEA","NEO"
"2019-05-03","107","19","1517","11050","7486","155","1974","897","8590","20072","20179"
"2019-05-01","107","19","1515","11030","7475","155","1973","897","8586","20039","20146"
"2019-04-01","107","19","1494","10934","7397","155","1968","895","8549","19844","19951"
"2019-03-01","107","19","1474","10864","7369","155","1962","895","8532","19726","19833"
"2019-02-01","107","19","1463","10770","7329","155","1955","895","8507","19581","19688"
"2019-01-01","107","18","1437","10597","7246","155","1941","894","8428","19298","19405"
"2018-12-01","107","18","1429","10501","7205","154","1935","893","8388","19153","19260"
"2018-11-01","107","18","1409","10362","7143","154","1931","893","8342","18932","19039"
"2018-10-01","107","18","1398","10269","7088","154","1922","893","8303","18773","18880"
"2018-09-01","107","18","1379","10152","7022","154","1917","893","8272","18571","18678"
"2018-08-01","107","18","1370","10097","6948","154","1910","893","8239","18433","18540"
"2018-07-01","107","18","1364","10059","6909","154","1906","892","8213","18350","18457"
"2018-06-01","107","18","1350","9998","6851","154","1894","892","8163","18217","18324"
"2018-05-01","107","17","1339","9920","6819","154","1889","890","8129","18095","18202"
"2018-04-01","107","17","1327","9819","6781","154","1883","890","8093","17944","18051"
"2018-03-01","107","17","1318","9723","6731","154","1873","890","8056","17789","17896"
"2018-02-01","107","17","1301","9630","6693","154","1870","890","8024","17641","17748"
"2018-01-01","107","17","1290","9512","6641","154","1859","889","7983","17460","17567"
"2017-12-01","106","15","1272","9385","6592","154","1850","888","7931","17264","17370"
"2017-11-01","106","15","1251","9248","6512","154","1835","887","7874","17026","17132"
"2017-10-01","106","15","1234","9070","6425","154","1823","887","7818","16744","16850"
"2017-09-01","106","15","1218","8962","6313","154","1813","887","7765","16508","16614"
"2017-08-01","106","15","1203","8900","6246","154","1806","887","7725","16364","16470"
"2017-07-01","106","15","1198","8868","6199","154","1797","887","7691","16280","16386"
"2017-06-01","106","15","1192","8817","6158","154","1786","886","7647","16182","16288"
"2017-05-01","106","15","1181","8757","6132","154","1781","885","7617","16085","16191"
"2017-04-01","106","15","1164","8685","6093","154","1773","885","7582","15957","16063"
"2017-03-01","106","15","1145","8532","6026","154","1765","884","7533","15718","15824"
"2017-02-01","106","15","1139","8454","5985","154","1760","884","7501","15593","15699"
"2017-01-01","106","15","1125","8326","5936","154","1742","882","7446","15402","15508"
"2016-12-01","106","15","1119","8255","5901","154","1729","882","7403","15290","15396"
"2016-11-01","106","15","1104","8136","5847","154","1722","881","7351","15102","15208"
"2016-10-01","106","15","1086","8017","5769","154","1713","881","7302","14887","14993"
"2016-09-01","106","15","1074","7935","5692","154","1711","880","7261","14716","14822"
"2016-08-01","106","15","1071","7883","5612","154","1701","880","7214","14581","14687"
"2016-07-01","106","15","1065","7847","5553","154","1691","880","7173","14480","14586"
"2016-06-01","106","15","1059","7791","5513","154","1686","880","7130","14378","14484"
"2016-05-01","105","15","1043","7724","5470","154","1677","880","7091","14252","14357"
"2016-04-01","105","15","1029","7638","5412","154","1669","880","7049","14094","14199"
"2016-03-01","105","15","1005","7496","5351","154","1659","879","6991","13867","13972"
"2016-02-01","105","15","991","7393","5288","153","1644","878","6946","13687","13792"
"2016-01-01","105","15","978","7299","5222","153","1627","876","6880","13514","13619"
"2015-12-01","103","15","958","7181","5167","153","1616","876","6821","13321","13424"
"2015-11-01","103","15","949","7091","5119","153","1612","875","6784","13174","13277"
"2015-10-01","103","15","946","7019","5053","153","1597","875","6728","13033","13136"
"2015-09-01","103","15","939","6966","4989","153","1590","875","6695","12909","13012"
"2015-08-01","103","15","938","6926","4952","153","1585","875","6664","12831","12934"
"2015-07-01","103","15","934","6900","4920","153","1578","874","6629","12769","12872"
"2015-06-01","103","14","933","6860","4881","153","1574","873","6593","12688","12791"
"2015-05-01","103","14","921","6798","4817","153","1564","873","6556","12550","12653"
"2015-04-01","102","14","916","6717","4755","152","1556","872","6518","12402","12504"
"2015-03-01","102","14","905","6607","4715","152","1543","869","6464","12241","12343"
"2015-02-01","101","13","897","6524","4676","152","1532","869","6428","12110","12211"
"2015-01-01","100","13","888","6441","4610","152","1517","868","6357","11952","12052"
"2014-12-01","100","13","879","6377","4573","152","1508","866","6304","11842","11942"
"2014-11-01","100","13","873","6303","4507","152","1499","862","6257","11696","11796"
"2014-10-01","99","13","866","6214","4444","152","1493","862","6218","11537","11636"
"2014-09-01","99","13","860","6160","4390","152","1488","862","6186","11423","11522"
"2014-08-01","99","13","855","6107","4317","152","1479","862","6126","11292","11391"
"2014-07-01","99","13","853","6065","4284","152","1469","862","6092","11215","11314"
"2014-06-01","99","13","844","6028","4229","151","1461","860","6048","11114","11213"
"2014-05-01","99","13","837","5960","4182","151","1449","859","6003","10992","11091"
"2014-04-01","99","13","825","5845","4074","151","1442","859","5950","10757","10856"
"2014-03-01","99","12","818","5789","4048","151","1437","859","5920","10667","10766"
"2014-02-01","99","12","810","5744","4010","151","1431","859","5886","10576","10675"
"2014-01-01","99","12","803","5691","3972","151","1427","858","5854","10478","10577"
"2013-12-01","99","12","798","5636","3945","151","1423","858","5821","10391","10490"
"2013-11-01","99","12","797","5564","3919","151","1415","857","5788","10292","10391"
"2013-10-01","98","11","785","5505","3857","150","1406","853","5747","10158","10256"
"2013-09-01","98","11","779","5450","3801","150","1402","852","5711","10041","10139"
"2013-08-01","98","11","777","5419","3765","150","1396","852","5684","9972","10070"
"2013-07-01","98","11","772","5391","3740","150","1389","851","5655","9914","10012"
"2013-06-01","98","11","769","5361","3722","150","1382","849","5625","9863","9961"
"2013-05-01","98","10","764","5322","3703","150","1375","849","5596","9799","9897"
"2013-04-01","98","10","759","5281","3672","150","1366","849","5562","9722","9820"
"2013-03-01","98","10","754","5234","3644","150","1358","849","5537","9642","9740"
"2013-02-01","97","10","749","5196","3617","150","1355","849","5513","9572","9669"
"2013-01-01","97","10","742","5115","3581","150","1341","848","5461","9448","9545"
"2012-12-01","97","10","734","5062","3550","150","1331","848","5426","9356","9453"
"2012-11-01","96","9","726","5009","3513","150","1324","846","5393","9257","9353"
"2012-10-01","96","9","720","4934","3459","150","1313","845","5340","9122","9218"
"2012-09-01","96","9","716","4901","3428","150","1310","843","5313","9054","9150"
"2012-08-01","96","9","711","4876","3396","150","1305","842","5282","8992","9088"
"2012-07-01","95","9","710","4870","3387","150","1300","841","5267","8976","9071"
"2012-06-01","95","9","705","4845","3363","150","1291","838","5232","8922","9017"
"2012-05-01","95","9","703","4812","3339","150","1285","835","5206","8863","8958"
"2012-04-01","95","9","701","4761","3312","150","1280","834","5176","8783","8878"
"2012-03-01","95","9","695","4681","3286","150","1273","832","5144","8671","8766"
"2012-02-01","95","9","685","4634","3245","150","1268","832","5110","8573","8668"
"2012-01-01","95","9","675","4565","3209","150","1260","831","5073","8458","8553"
"2011-12-01","95","9","671","4533","3185","150","1253","828","5047","8398","8493"
"2011-11-01","95","9","668","4492","3152","148","1243","825","5012","8321","8416"
"2011-10-01","95","9","661","4431","3106","147","1232","823","4975","8207","8302"
"2011-09-01","94","9","660","4396","3052","147","1227","822","4938","8117","8211"
"2011-08-01","94","9","660","4380","3023","147","1224","819","4915","8072","8166"
"2011-07-01","93","9","658","4367","2999","147","1220","819","4896","8033","8126"
"2011-06-01","93","9","658","4349","2975","147","1214","818","4868","7991","8084"
"2011-05-01","93","9","655","4323","2953","147","1205","817","4839","7940","8033"
"2011-04-01","93","9","644","4275","2923","147","1198","814","4795","7851","7944"
"2011-03-01","93","9","633","4212","2899","147","1189","812","4761","7753","7846"
"2011-02-01","93","9","623","4167","2882","147","1180","812","4739","7681","7774"
"2011-01-01","93","9","617","4093","2849","147","1165","811","4692","7568","7661"
"2010-12-01","93","8","608","4038","2818","147","1157","811","4655","7472","7565"
"2010-11-01","93","8","597","3969","2776","147","1152","811","4619","7350","7443"
"2010-10-01","93","8","587","3912","2739","147","1137","811","4580","7246","7339"
"2010-09-01","93","8","581","3864","2675","147","1132","809","4547","7128","7221"
"2010-08-01","93","8","578","3852","2664","147","1130","806","4531","7102","7195"
"2010-07-01","93","8","573","3828","2653","147","1127","805","4500","7062","7155"
"2010-06-01","92","8","567","3797","2631","147","1120","804","4463","7003","7095"
"2010-05-01","91","8","559","3753","2610","146","1107","802","4422","6930","7021"
"2010-04-01","91","8","551","3708","2591","146","1103","801","4388","6858","6949"
"2010-03-01","91","8","543","3671","2565","145","1094","799","4357","6787","6878"
"2010-02-01","91","8","539","3617","2541","145","1083","798","4314","6705","6796"
"2010-01-01","91","8","534","3587","2522","145","1076","797","4290","6651","6742"
"2009-01-01","89","8","480","3119","2264","142","998","772","3945","5871","5960"
"2008-01-01","85","6","425","2661","1974","138","903","751","3558","5066","5151"
"2007-01-01","83","6","358","2313","1738","134","818","724","3214","4415","4498"
"2006-01-01","79","5","311","1974","1487","131","736","692","2848","3777","3856"
"2005-01-01","76","4","258","1634","1253","122","642","642","2471","3149","3225"
"2004-01-01","72","2","202","1324","1083","109","547","593","2127","2611","2683"
"2003-01-01","68","1","167","1088","917","99","466","537","1810","2173","2241"
"2002-01-01","64","1","124","837","722","88","371","461","1426","1684","1748"
"2001-01-01","58","1","94","618","529","73","291","394","1074","1242","1300"
"2000-01-01","57","1","57","448","373","61","215","305","765","879","936"
"1990-01-01","48","0","8","63","63","20","42","88","134","134","182"
"1980-01-01","44","0","3","27","21","12","17","43","51","51","95"
"1960-01-01","40","0","0","10","10","7","8","18","20","20","60"
"1950-01-01","40","0","0","7","6","4","5","12","13","13","53"
"1940-01-01","35","0","0","3","6","2","3","8","9","9","44"
"1930-01-01","33","0","0","0","5","0","0","5","5","5","38"
"1920-01-01","31","0","0","0","3","0","0","3","3","3","34"
"1910-01-01","29","0","0","0","1","0","0","1","1","1","30"
"1900-01-01","27","0","0","0","1","0","0","1","1","1","28"
"1970-01-01","41","0","0","13","14","8","10","24","27","27","68"